,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
43,VVPS.VI,VOLKSBANK VORARLBERG PS,Austria,55,20.0,EUR,Financial Services,Banks—Regional,0.0538,0.059559997,106486488.0,0.00123,0.012740000000000001,6.837111999999999,47250758.0,127.087352,0.06,45758232.0,2814242.0,16924326.0,45.520276,709970007.4239999,500.931,8759560.879999999,702681184.2559999,3.4458995000000003,-0.9129999999999999,,,0.18538456,0.039925657,14.870999999999999,0.537313,35.57559999999999,13.9004,24.934332548,24.372328774,0.02545,
44,KOMB.PR,KOMERCNI BANKA,Czech Republic,124187,861.5,CZK,Financial Services,Banks—Regional,0.34139,0.42804,,0.0070799999999999995,0.07704,1.848122549019608,1206546577.5686276,6.189482843137255,0.293,1168919117.647059,411899494.9019608,2853678853.019608,15.110355392156865,7039919365.019608,613.319,7576689804.549021,11609044992.0,21.707907000000002,0.76,11.587089,,6.2796497,1.4046524999999999,9.622,0.9252870000000001,40.118872549019606,21.42156862745098,38.6429050490196,34.89283872549019,0.06807512,
45,MONET.PR,MONETA MONEY BANK,Czech Republic,916738,88.5,CZK,Financial Services,Banks—Regional,0.35489,0.31404,1666924082.1960785,0.00884,0.10461,0.2249264705882353,371617658.98039216,0.7272156862745098,0.302,344887254.9019608,131882352.94117647,878656898.5098039,1.7195,763632358.9019607,54.082,2105996408.470588,2001680203.2941177,18.322979999999998,0.7759999999999999,12.606836999999999,,5.667105,1.6364039,5.386,0.746074,4.1515931372549035,2.3517156862745097,4.096745539215687,3.8217158823529416,0.0,
46,DNB.OL,DNB BANK ASA,Norway,976021,185.7,NOK,Financial Services,Banks—Regional,0.41401002,0.50797004,-3033924971.2686744,0.0069199996,0.08405,1.4004521381708956,5429545550.0687685,3.299070429215082,0.272,5114816220.061655,2246403416.571022,71746865511.54532,46.277424116670616,138628809635.15927,160.142,33510253322.987907,100635698291.01888,15.433844,0.43799999999999994,12.479838,,6.171834,1.1595958,18.535,,22.458214765631176,20.22345071535847,21.82808230377045,21.57682731602245,0.048012804000000006,
47,SRBNK.OL,SPAREBANK 1 SR BK,Norway,150236,115.0,NOK,Financial Services,Banks—Regional,0.42963,0.5072,-1939472578.787448,0.0072600003000000005,0.08238,0.9658370879772352,565674680.0221326,2.3387038574025767,0.778,489669393.72381634,233602687.07928228,1097595007.0792825,4.292260098015968,16419113498.26575,100.35,3422796561.6251683,18878274080.41736,13.858761,2.249,,,6.050822,1.1459891000000002,33.373000000000005,1.038142,14.421211761916055,8.485119753379179,13.737074131689196,13.15874163821042,0.02705061,
48,BANO.OL,BANK NORWEGIAN ASA,Norway,307604,104.7,NOK,Financial Services,Banks—Regional,0.59378,0.67504996,164341747.35277843,0.03822,0.22659999,,446133515.7568572,2.4300731167496643,0.02,444172507.50928783,264905801.84965616,250490501.03865308,1.3401600663979132,862629650.2727058,,,2861553984.8549523,,0.098,,,,,6.414,,12.19808710773852,11.744150660026875,12.07328670935104,12.067617625088928,,
49,MING.OL,SPAREBANK 1 SMN,Norway,108373,124.8,NOK,Financial Services,Banks—Regional,0.38105,0.49548998,-1719604334.4051855,0.01275,0.11675999,1.2812647221563511,709886745.4967988,5.487742470950915,0.091,620263417.9116275,169236819.22377682,4174003856.0366774,32.266617461070275,5750909149.619793,161.2,1885993423.5965536,3582588508.1527147,11.337209,0.064,12.905894,,2.6567526000000004,0.7741935999999999,5.047,1.026225,15.03809975496008,9.008892577661848,14.608088551497907,13.726081420441073,0.0104,4.51
50,NONG.OL,SPAREBK 1 NORD-NOR,Norway,92151,89.3,NOK,Financial Services,Banks—Regional,0.47345,0.58300996,-301227570.9430085,0.015470001,0.12661,0.9681649671962692,449397075.78531337,4.492923286696704,0.156,433916686.4279504,96839775.51181725,182156541.4402024,1.8143490633151529,2923932626.0248203,151.514,1043555671.0331199,3722334799.93044,10.735754,0.22399999999999998,13.017493,,2.3221238,0.5893845,8.283,0.868347,10.46381708955814,7.053474033673228,10.150200545411431,9.88152417516402,0.043869517999999996,5.37
51,KOMP.OL,KOMPLETT BANK ASA,Norway,302483,8.17,NOK,Financial Services,Banks—Regional,0.36668998,0.49023,-3945755.276262746,0.02506,0.13272001,0.1638826970199984,88750391.50106712,0.4698824203620267,0.16699999999999998,85677594.65654889,31463019.5873844,132886981.49395303,0.711167101414908,12430875.029641924,12.405,177725689.65615368,59623899.66959134,5.802557,0.366,3.1064637000000004,,2.0025342,0.6586054,0.672,1.9214360000000001,1.2710220535926011,0.714658920243459,0.9808777483993362,1.0867881634851,0.08610086,
52,BRA.OL,BRABANK ASA 'NEW',Norway,108257,9.1,NOK,Financial Services,Banks—Regional,1.65953,0.38034,,0.07762000000000001,0.46792,0.4402019603193424,29657762.289147105,0.2504798039680658,1.204,17930838.866492767,49218000.21500277,5824702.987906095,0.06145601138249941,12171316.496719627,13.412,100396663.2202988,105427385.26914868,2.4061343999999996,1.3519999999999999,,,3.3851733,0.6784969,3.555,0.650081,1.2803335704687375,0.5819698047585171,1.0346775978183542,1.0449995306695123,,
53,INSTA.OL,INSTABANK ASA,Norway,449389,2.11,NOK,Financial Services,Banks—Regional,0.27504,0.36729,,0.01349,0.08959,0.016877124337996995,21735058.155086555,0.06145601138249941,0.488,19812230.8513161,5978110.22844044,188907.3986246147,0.0005819698047585173,7464693.8977155965,1.796,81693960.12963402,80839080.9390562,14.551723499999998,1.624,,,3.7586262,1.1748329,3.719,1.370703,0.2793455062840882,0.10826966247727453,0.24840411554422576,0.22393632412457515,,
54,DANSKE.CO,Danske Bank A/S,Denmark,2210677,105.0,DKK,Financial Services,Banks—Regional,0.20256001,0.27884000000000003,-21279724308.79397,0.00223,0.05343,1.583551371705218,7052158108.987627,8.312694190424958,0.877,6200500268.961807,1353844519.797741,118247370044.72943,138.5654975793437,219715227932.2302,189.707,14194874217.071545,117872430339.4427,10.504201,,5.263158,,2.0128412,0.5534851,16.714000000000002,1.161967,19.897364174287244,12.717837547068315,17.254854803657878,18.133858252824094,0.019138755,
55,JYSK.CO,Jyske Bank A/S,Denmark,240961,265.1,DKK,Financial Services,Banks—Regional,0.34562,0.45326000000000005,1586878231.272727,0.0048200000000000005,0.09134,6.781104088219472,1499747952.3700912,20.689139860139857,3.813,1193525013.4480903,491572629.8267885,22199819794.45293,309.18539537385686,78822554511.07907,518.99,2984503157.189886,60077204429.87412,6.193201999999999,,8.341724000000001,,1.9900031000000002,0.5107997999999999,40.058,1.191265,52.56325981710597,27.49353146853147,46.006492173211406,47.360637708445395,0.02309434,
56,SYDB.CO,Sydbank A/S,Denmark,125386,183.2,DKK,Financial Services,Banks—Regional,0.24502,0.34456003,-1007066463.9827863,0.0069900000000000006,0.08964,2.6604803657880582,724130953.9838622,12.250978214093596,0.231,612921194.1904249,177270316.75524473,9111281932.806885,153.6719693383539,4209971688.0387297,211.097,1720599711.7417965,-3176266338.874664,10.908657,0.316,10.373726,,2.376089,0.86784744,-4.386,1.400798,33.83819257665411,15.287385691231847,30.48148189349112,29.492245462614303,0.021917809,
57,SPNO.CO,Spar Nord Bank A/S,Denmark,113432,76.5,DKK,Financial Services,Banks—Regional,0.29577,0.38879,-1445568884.6390529,0.00995,0.09571,1.2366148466917697,539890263.5825713,4.394370898332436,0.7190000000000001,477948628.2947821,151923345.88488433,2092233200.02582,17.029513986013985,1108295817.4330282,91.788,1488930112.8606775,483588418.3066164,9.800154,11.292,11.538461999999999,,2.7578384999999996,0.8334423000000001,0.8959999999999999,0.9490190000000001,12.546745562130175,7.26348843464228,11.885348305540614,11.200848878429262,0.01953125,
