,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
24,UNIONBANK.NS,UNION BK OF INDIA,India,13442282,35.9,INR,Financial Services,Banks—Regional,0.15077,0.1471,,0.00337,0.05631,0.060851115,3288912823,0.510237284,0.428,3005623067,495875141.6,5643551529,0.85648966,7082576906,100.833,3340243482,4565743291,8.031321,2.285,2.0561285,0.63,1.0156072,0.35603425,1.388,1.005747,0.615998428,0.314465496,0.477143534,0.488903822,0.053133514,
25,BANKINDIA.NS,BK OF INDIA,India,4399533,58.25,INR,Financial Services,Banks—Regional,0.14797,0.14508,,0.00279,0.040560003,0.086443978,1814582702,0.549770089,0.033,1797645166,268499097.3,6127331763,1.81643983,4088648876,150.271,2932475635,1079521625,9.173228,-0.131,5.6884766,34.04,1.6160606,0.38763303,0.595,1.312555,1.380381009,0.520025193,0.880699964,0.97188502,0.08326395,
26,BANKBARODA.NS,BK OF BARODA,India,34849123,82.3,INR,Financial Services,Banks—Regional,0.062989995,0.059169997,-3208461512,0.00135,0.02034,0.045182294,3344955406,0.717362501,-0.113,3344955378,210687215.1,12636184359,2.443492197,9701238120,159.319,5793828122,2886585568,24.796627,,3.7358148,0.17,1.7321092,0.51657367,0.863,0.92675,1.35928051,0.537722385,1.077108578,1.059354673,0.013969732,
27,CENTRALBK.NS,CENTRAL BANK OF IN,India,15475507,23.2,INR,Financial Services,Banks—Regional,-0.18218,-0.23844999,-2468145746,-0.00274,-0.041339997,-0.023550879,747311610,0.129271184,,747311596.1,-136147220.9,5302864245,0.901141038,784076089.1,45.027,2741673510,-2493158687,,,,,3.6687152,0.5152464,-3.336,1.087621,0.403632119,0.137493572,0.287522637,0.276707719,0.021551723,
28,FEDERALBNK.NS,FED BANK,India,15243556,83.3,INR,Financial Services,Banks—Regional,0.26272,0.34919,,,,0.113125899,835077375.4,0.418919771,0.019,831389555.1,219389893.2,3111687979,1.480955514,1670424517,82.67,2263744929,879353922.1,10.024067,-0.129,9.893112,,2.7108207,1.0076207,1.053,1.152519,1.259223307,0.617359751,1.135740057,1.126569971,0.00814901,
29,INDIANB.NS,INDIAN BANK,India,3194548,137.05,INR,Financial Services,Banks—Regional,0.28621998,0.22729999,,,,0.379536711,1892042501,1.672044353,0.061,1865814997,541533749.9,3840666446,3.400719721,3567078685,349.444,2107057078,1839614489,4.9157104,1.923,2.4693694,0.43,1.1136415,0.39219448,0.972,1.194883,2.137276315,0.722862244,1.749053686,1.756280947,0.014367816,
30,UCOBANK.NS,UCO BANK,India,9343134,13.9,INR,Financial Services,Banks—Regional,0.06347,0.00982,,0.00102,0.011770001,0.002314248,530568870.1,0.054248701,0.514,504215051.8,33676942.12,516683126.2,0.050750103,1667128668,22.598,2263911539,3056143889,81.7647,3.744,9.928572,,4.266951,0.61509866,5.76,1.066511,0.222576228,0.146342168,0.179770204,0.176636324,0.13937283,
31,MAHABANK.NS,BK OF MAHARASHTRA,India,7001629,19.3,INR,Financial Services,Banks—Regional,0.14362,0.22275,,0.00356,0.057800002,0.012388035,644703374.6,0.100111656,0.706,563229593.4,92594979.64,1322935879,0.204198374,1043091537,18.762,1726906152,1360546736,21.20879,1.035,,,2.6786058,1.028675,2.11,0.946949,0.435623198,0.143619523,0.259785718,0.308944585,0.04010025,
32,CUB.NS,CITY UNION BANK,India,2012144,153.55,INR,Financial Services,Banks—Regional,0.34445,0.39793998,,,,0.070761543,241782612.3,0.327411673,0.074,237335073.6,83283056.34,492498330,0.666598785,183192588.6,77.707,1544367625,1220981148,29.540209,0.123,13.612589,0.9,6.387422,1.9760125,5.05,0.769672,2.722644987,1.796945692,2.071441398,2.209227926,0,
33,RBLBANK.NS,RBL BANK LIMITED,India,8159255,181,INR,Financial Services,Banks—Regional,0.13994999,0.18821,-1036127030,0.00558,0.04558,0.131776017,515007377.9,0.948365315,-0.06,515007357.8,72077942.5,912731329.7,1.5304532,1528239670,212.386,1473517478,2371161441,18.698347,-0.341,8.701923,,2.861158,0.8522219,4.604,1.359189,3.7341076,2.1182178,2.364522559,2.723557346,0,
34,PSB.NS,PUNJAB & SIND BANK,India,1060533,17.85,INR,Financial Services,Banks—Regional,0,6.21489,,-0.02343,-0.34847,-0.486128262,-63828856.17,-0.039873136,1.753,-137594840.6,-332456779.4,783969309.1,0.193906776,359872408.2,87.275,984782877,451016630.2,,,,,-15.42849,0.20452592,-7.066,0.9916,0.323314092,0.140216217,0.235905835,0.254609848,0.088709675,
35,EQUITASBNK.NS,Equitas Small Fin Bnk Ltd,India,1655596,60.25,INR,Financial Services,Banks—Regional,0.14423999,0.40979,,,,0.047510155,319462244,0.28383574,0.301,291703162.9,46077757.99,403131813.1,0.353848556,567034365.2,29.79,937033890.6,1132455266,17.26361,-0.793,,,2.93316,2.0224907,3.545,,1.045495675,0.409077409,0.818362774,0.805699671,,
36,CSBBANK.NS,CSB Bank Limited,India,428186,307.2,INR,Financial Services,Banks—Regional,0.19372,0.34569,,,,0.171390502,158702354.2,0.915734415,0.217,152745202.9,30744135.08,145008228.8,0.835852011,194113613.4,125.558,725515506.5,860586020.2,24.400318,0.139,,,4.5715485,2.4466782,5.423,,5.091346126,2.630075058,4.264420307,4.050024946,,
37,KARURVYSYA.NS,KARUR VYSYA BANK,India,2665237,49.9,INR,Financial Services,Banks—Regional,0.14095001,0.2186,,,,0.061259512,350356836.3,0.438141645,0.097,343216695.2,49383238.94,548859524.2,0.686651066,344181692.8,87.355,542979377.7,274644855.4,11.088889,0.032,4.4753366,,1.5497895,0.5712323,0.784,1.557913,0.87873367,0.398867491,0.599360073,0.707117188,0.010952902,
38,UJJIVANSFB.NS,Ujjivan Small Financ Bank,India,6854402,20.65,INR,Financial Services,Banks—Regional,0.00669,0.00822,41030261.7,0.00043,0.00259,0.000680661,168842101,0.101718017,0.155,168842106.2,1129897.67,232994426.6,0.134852606,442064984.7,18.63,485850594.5,946418259.8,413,0.866,,,2.8775442,1.1084273,5.605,,0.607149832,0.242315404,0.307885775,0.389598205,,
39,DCBBANK.NS,DCB BANK LIMITED,India,1257744,91.95,INR,Financial Services,Banks—Regional,0.25841,0.34846002,-113816088.4,0.0086,0.09352,0.145661507,176894327.5,0.569999341,0.091,176894328.8,45711848.45,413752181.2,1.332966146,610178765.5,121.089,388756665.7,644332070.3,8.593458,0.133,7.116873,,2.1976774,0.7593588,3.642,0.997218,1.722072954,1.011462613,1.263666459,1.366351845,0.010649627,
40,J&KBANK.NS,JAMMU & KASHMIR BA,India,6681702,38.7,INR,Financial Services,Banks—Regional,0.12519,0.15728,-1398844887,0.00374,0.065170005,,465907165.1,0.653543703,1.186,28554733.07,58325861.8,1293760026,1.814847082,274333715.9,,375868687.2,-646286673.3,,,,0.48,0.8067459,,-1.387,1.509302,0.603065865,0.19126581,0.497317571,0.43421461,,
41,KTKBANK.NS,KARNATAKA BANK,India,2778428,72,INR,Financial Services,Banks—Regional,0.17909999,0.22378999,,,,0.209398626,297948563.7,0.958561621,-0.188,311885789.9,53362479.12,723620510.8,2.329848995,240257080.8,208.346,304456843.9,-220587989.4,4.6807957,-0.461,3.4204276,,1.0218437,0.345579,-0.74,1.154883,1.031201789,0.537722385,0.832183982,0.855846435,0.047651466,
42,SOUTHBANK.NS,SOUTH INDIA BANK,India,23590613,10.4,INR,Financial Services,Banks—Regional,0.03004,0.04204,834727538.7,0.00065,0.01097,0.004628496,280587620.1,0.154088093,1.024,280587624.4,8427947.994,1193589831,0.703150294,559268033,34.222,296284971,-332756571.8,30.588234,,2.300885,1.52,1.0559446,0.30389807,-1.186,1.238757,0.189904488,0.085082656,0.136170067,0.138240407,0.023148147,
43,SURYODAY.NS,Suryoday Small Fin Bk Ltd,India,325793,194.65,INR,Financial Services,Banks—Regional,0.03481,0.03551,-174698521.7,0.00196,0.008909999,0.017833325,46385701.78,0.516267942,-0.347,46385702.65,1614528.477,13994395.23,0.15618453,226880730.3,178.217,281227435.6,485329017.6,148.58778,,,,6.062804,1.0922078,10.463,,4.03427921,1.885431654,2.341210048,2.956360372,,
44,J&KBANK.BO,JAMMU & KASHMIR BANK LTD.,India,1060369,38.6,INR,Financial Services,Banks—Regional,-0.74401003,-0.71927,-513907181.9,-0.01126,-0.18250999,,216524663.5,0.30354769,-0.492,28554733.07,-161096915.7,1333088618,1.86793866,274929955.1,,293231426.6,-916509109.9,,,,,1.3542634,,-4.233,1.004093,0.548612965,0.150426136,0.37542873,0.276354483,,
45,DHANBANK.NS,DHANLAXMI BANK LTD,India,2946793,17.05,INR,Financial Services,Banks—Regional,0.08958,0.10244001,,,,0.020011441,57581217.96,0.22811681,0.17,55633166.35,5158050.928,134086186.4,0.533189181,20419837.4,34.368,58886784.17,-59575452.17,11.598639,0.115,,,1.0226735,0.496101,-1.035,0.803713,0.274987144,0.157913409,0.218832591,0.212857896,,
46,ITUB4.SA,ITAUUNIBANCOPN      N1,Brazil,32569795,27.82,BRL,Financial Services,Banks—Regional,0.25373,0.4273,-12326476285,0.01444,0.19,0.537931624,20805592174,2.12989023,0.744,14092745209,5279059180,67126766740,6.863802447,1.1164E+11,14.658,49816716292,98275429963,9.819979,3.878,9.211921,,2.3943906,1.8979397,4.724,0.981157,6.520498396,4.211550799,5.705531037,5.560193989,0.016175438,2.84
47,ITUB3.SA,ITAUUNIBANCOON      N1,Brazil,1156260,25.86,BRL,Financial Services,Banks—Regional,0.25373,0.4273,-12326476285,0.01444,0.19,0.537931624,20805592174,2.12989023,0.744,14092745209,5279059180,67126766740,6.863802447,1.1164E+11,14.658,49816585629,94635687023,9.128133,3.878,,,2.3943844,1.7642244,4.549,0.981157,5.724898854,4.006479795,5.24764774,4.999302577,0.017343868,2.83
48,BBDC4.SA,BRADESCO    PN      N1,Brazil,37535928,20.02,BRL,Financial Services,Banks—Regional,0.23076001,0.40187,-22168388849,0.01355,0.15037,0.411850932,17341911786,1.784307613,0.613,11636691256,4001881587,77151320850,7.945741872,93411911742,15.087,34317179416,53303422768,9.230061,0.704,5.576602,,1.9788579,1.3269702,3.074,1.173171,5.474256516,3.312552558,4.299058773,4.614540765,0.048242655,2.5
49,BBDC3.SA,BRADESCO    ON      N1,Brazil,7168073,17.28,BRL,Financial Services,Banks—Regional,0.23076001,0.40187,-22168388849,0.01355,0.15037,0.411850932,17341911786,1.784307613,0.613,11636691256,4001881587,77151320850,7.945741872,93411911742,15.087,34317076753,48251660862,7.9668055,0.704,,,1.978852,1.145357,2.782,1.173171,4.665365335,3.058803014,3.694316156,3.988837612,0.056323774,1.52
